name,affiliation,country,orcid,dblp_pid,matched_by,core_papers,extended_papers,venues,last_year,homepage
Chabane Djeraba,CRIStAL,fr,,d/ChabaneDjeraba,name,1,0,CVPR,2023,http://cristal.univ-lille.fr/~djeraba
Charles Bouillaguet,CRIStAL,fr,0000-0001-9416-6244,97/3320,orcid,0,0,,,http://cristal.univ-lille.fr/~bouillag
Charles Paperman,CRIStAL,fr,0000-0002-6658-5238,126/2968,orcid,0,0,,,https://www.cristal.univ-lille.fr/profil/cpaperma
Christian Duriez,CRIStAL,fr,0000-0001-6030-7117,41/3334,orcid,8,1,ICRA;IROS;MICCAI;TRO,2025,https://team.inria.fr/defrost/team-members/christian-duriez
Christophe Chaillou,CRIStAL,fr,,00/6794,name,0,0,,,https://www.cristal.univ-lille.fr/profil/chaillou
Clarisse Dhaenens,CRIStAL,fr,,d/ClarisseDhaenens,name,0,1,ECAI,2024,http://cristal.univ-lille.fr/~dhaenens
Clarisse Dhaenens-Flipo,CRIStAL,fr,,d/ClarisseDhaenens,name,0,1,ECAI,2024,http://cristal.univ-lille.fr/~dhaenens
Clément Ballabriga,CRIStAL,fr,,59/4983,name,0,0,,,https://www.cristal.univ-lille.fr/profil/ballabri
Clément Quinton,CRIStAL,fr,,00/9990,name,0,1,WWW,2025,https://www.cristal.univ-lille.fr/profil/quinton
Cristian Versari,CRIStAL,fr,,06/1419,name,0,1,ICASSP,2022,https://cristal.univ-lille.fr/~versaric
Cédric Dumoulin,CRIStAL,fr,,d/CedricDumoulin,name,0,0,,,http://cristal.univ-lille.fr/~dumoulin
Cédric Lhoussaine,CRIStAL,fr,,35/6412,name,0,0,,,https://www.cristal.univ-lille.fr/profil/lhoussai
Céline Kuttler,CRIStAL,fr,,59/4356,name,0,0,,,https://www.cristal.univ-lille.fr/profil/kuttler
Damien Pollet,CRIStAL,fr,,59/5347,name,0,0,,,https://www.cristal.univ-lille.fr/profil/pollet
Diego Cattaruzza,CRIStAL,fr,,145/0209,name,0,0,,,https://www.cristal.univ-lille.fr/profil/dcattaru
El-Ghazali Talbi,CRIStAL,fr,,74/3045,name,2,0,JMLR;NeurIPS,2024,https://www.cristal.univ-lille.fr/profil/talbi
El-Ghazil Talbi,CRIStAL,fr,,74/3045,name,2,0,JMLR;NeurIPS,2024,https://www.cristal.univ-lille.fr/profil/talbi
Emilie Kaufmann,CRIStAL,fr,,67/11350,name,23,0,AISTATS;COLT;ICML;JMLR;NeurIPS;UAI,2025,http://chercheurs.lille.inria.fr/ekaufman
Emmanuel Renaux,CRIStAL,fr,,65/4353,name,0,0,,,https://www.cristal.univ-lille.fr/profil/renaux
Eric Leprêtre,CRIStAL,fr,,36/5660,name,0,0,,,https://www.cristal.univ-lille.fr/profil/elepretr
Fabien Torre,CRIStAL,fr,,94/1320,name,0,0,,,https://fabien-torre.fr
Fabio Vitale,CRIStAL,fr,0009-0000-7398-9436,43/1187,name,5,1,AISTATS;ICML;KDD;NeurIPS,2025,http://researchers.lille.inria.fr/vitale
Fabrice Aubert,CRIStAL,fr,,a/FAubert,name,0,0,,,https://www.cristal.univ-lille.fr/profil/aubert
Florent Berthaut,CRIStAL,fr,0000-0002-1273-0073,39/9399,orcid,0,0,,,https://www.cristal.univ-lille.fr/profil/fberthau
Florent Capelli,CRIStAL,fr,0000-0002-2842-8223,119/5011,orcid,2,0,AAAI;IJCAI,2024,https://www.cristal.univ-lille.fr/profil/fcapelli
Francesco De Comité,CRIStAL,fr,,68/4712,name,0,0,,,https://www.cristal.univ-lille.fr/profil/decomite
François Boulier,CRIStAL,fr,,76/6922,name,0,0,,,http://cristal.univ-lille.fr/~boulier/pmwiki/pmwiki.php
François Lemaire,CRIStAL,fr,,03/5014,name,0,0,,,https://www.cristal.univ-lille.fr/profil/francois.lemaire
Frédéric Hoogstoel,CRIStAL,fr,,01/4034,name,0,0,,,https://www.cristal.univ-lille.fr/profil/hoogstoe
Frédéric Semet,CRIStAL,fr,,86/2553,name,2,0,ICRA;IJCAI,2025,https://www.cristal.univ-lille.fr/profil/fsemet
Gilles Grimaud,CRIStAL,fr,,g/GGrimaud,name,0,0,,,http://cristal.univ-lille.fr/~grimaud
Gilles Vanwormhoudt,CRIStAL,fr,,13/5497,name,0,0,,,https://www.cristal.univ-lille.fr/profil/vanwormh
Giuseppe Lipari,CRIStAL,fr,0000-0002-7544-5309,20/4726,orcid,0,0,,,http://cristal.univ-lille.fr/~lipari
Géry Casiez,CRIStAL,fr,0000-0003-1905-815X,15/4574,orcid,0,12,CHI,2026,http://cristal.univ-lille.fr/~casiez
Hassen Drira,CRIStAL,fr,0000-0003-1052-4353,26/5921,orcid,2,1,ICCV;MICCAI;TPAMI,2023,https://www.cristal.univ-lille.fr/profil/drirah
Hayfa Zgaya,CRIStAL,fr,,13/3727,name,0,0,,,https://www.cristal.univ-lille.fr/profil/hzgaya
Hayfa Zgaya-Biau,CRIStAL,fr,,13/3727,name,0,0,,,https://www.cristal.univ-lille.fr/profil/hzgaya
Hazem Wannous,CRIStAL,fr,0000-0001-8475-4309,97/5331,name,0,0,,,https://www.cristal.univ-lille.fr/profil/wannous
Hélène Touzet,CRIStAL,fr,0000-0001-5305-9987,87/3341,orcid,0,0,,,http://cristal.univ-lille.fr/~htouzet
Ioan Marius Bilasco,CRIStAL,fr,,b/IoanMariusBilasco,name,1,0,NeurIPS,2024,http://cristal.univ-lille.fr/~bilasco
Iovka Boneva,CRIStAL,fr,0000-0002-2696-7303,01/465,orcid,0,2,KR;WWW,2026,https://pro.univ-lille.fr/iovka-boneva
Jan Ramon,CRIStAL,fr,,38/900,name,1,0,TMLR,2025,https://www.cristal.univ-lille.fr/profil/jramon
Jean-Christophe Routier,CRIStAL,fr,,43/4095,name,0,0,,,http://cristal.univ-lille.fr/~routier
Jean-Claude Tarby,CRIStAL,fr,,22/5602,name,0,0,,,http://cristal.univ-lille.fr/~jctarby
Jean-Luc Dekeyser,CRIStAL,fr,,d/JeanLucDekeyser,name,0,0,,,http://cristal.univ-lille.fr/~dekeyser
Jean-Marc Geib,CRIStAL,fr,,93/5243,name,0,0,,,https://www.cristal.univ-lille.fr/profil/geib
Jean-Philippe Vandeborre,CRIStAL,fr,,12/1288,name,0,0,,,https://www.cristal.univ-lille.fr/profil/vandebor
Jean-Stéphane Varré,CRIStAL,fr,0000-0001-6322-0519,94/799,orcid,0,0,,,http://cristal.univ-lille.fr/~varre
Joachim Niehren,CRIStAL,fr,,n/JNiehren,name,0,0,,,http://researchers.lille.inria.fr/niehren
José Mennesson,CRIStAL,fr,,59/8843,name,1,0,CVPR,2023,https://www.cristal.univ-lille.fr/profil/mennesso
José Rouillard,CRIStAL,fr,,63/2164,name,0,0,,,http://www.cristal.univ-lille.fr/~rouillar
Julie Jacques,CRIStAL,fr,,131/5782,name,0,2,ECAI;RecSys,2024,https://www.cristal.univ-lille.fr/profil/jacques
Julien Baste,CRIStAL,fr,0000-0002-7869-0959,139/0927,orcid,0,0,,,https://www.iut-info.univ-lille.fr/~baste
Julien Cartigny,CRIStAL,fr,,i/JulienIguchiCartigny,name,0,0,,,https://pro.univ-lille.fr/julien-iguchi-cartigny
Julien Forget,CRIStAL,fr,,33/6672,name,0,0,,,https://www.cristal.univ-lille.fr/profil/forget
Julien Iguchi-Cartigny,CRIStAL,fr,,i/JulienIguchiCartigny,name,0,0,,,https://pro.univ-lille.fr/julien-iguchi-cartigny
Jérémie Dequidt,CRIStAL,fr,0000-0001-9778-4742,81/3249,name,1,0,IROS,2025,https://www.cristal.univ-lille.fr/profil/jdequidt
Laetitia Jourdan,CRIStAL,fr,,v/LaetitiaVermeulenJourdan,name,0,1,RecSys,2022,http://cristal.univ-lille.fr/~jourdan
Laetitia Vermeulen-Jourdan,CRIStAL,fr,,v/LaetitiaVermeulenJourdan,name,0,1,RecSys,2022,http://cristal.univ-lille.fr/~jourdan
Laurence Duchien,CRIStAL,fr,,d/LaurenceDuchien,name,0,0,,,http://chercheurs.lille.inria.fr/~duchien
Laurent Grisoni,CRIStAL,fr,0000-0002-5897-5957,68/5299,name,0,1,CHI,2024,https://www.cristal.univ-lille.fr/profil/grisoni
Laurent Noé,CRIStAL,fr,0000-0002-1170-8376,65/3202,orcid,0,0,,,https://www.cristal.univ-lille.fr/profil/noe
Lionel Seinturier,CRIStAL,fr,0000-0003-0006-6088,75/3681,orcid,0,0,,,http://chercheurs.lille.inria.fr/~seinturi
Louis Bigo,CRIStAL,fr,,54/9815,name,0,0,,,http://louisbigo.com/louis_bigo
Luce Brotcorne,CRIStAL,fr,,01/2206,name,0,0,,,https://www.cristal.univ-lille.fr/profil/brotcorn
Luigi Lancieri,CRIStAL,fr,,00/2711,name,0,0,,,http://cristal.univ-lille.fr/~lancieri
Marc Tommasi,CRIStAL,fr,0000-0003-2838-4408,t/MarcTommasi,orcid,12,4,ACL;AISTATS;EMNLP;ICASSP;ICML;Interspeech;NeurIPS;TMLR,2026,http://researchers.lille.inria.fr/tommasi
Marcus Denker,CRIStAL,fr,,58/4781,name,0,0,,,https://www.cristal.univ-lille.fr/profil/denker
Marie-Eléonore Kessaci,CRIStAL,fr,,78/9511,name,0,0,,,https://www.cristal.univ-lille.fr/profil/kessaci
Marie-Eléonore Marmion,CRIStAL,fr,,78/9511,name,0,0,,,https://www.cristal.univ-lille.fr/profil/kessaci
Marie-Emilie Voge,CRIStAL,fr,,85/6093,name,0,0,,,https://www.cristal.univ-lille.fr/profil/voge
Marie-Éléonore Kessaci-Marmion,CRIStAL,fr,,78/9511,name,0,0,,,https://www.cristal.univ-lille.fr/profil/kessaci
Mathieu Giraud,CRIStAL,fr,,05/3181,name,0,0,,,http://cristal.univ-lille.fr/~giraud
Mathieu Nancel,CRIStAL,fr,0000-0002-0804-728X,04/7445,orcid,0,0,,,http://mathieu.nancel.net
Matthieu Basseur,CRIStAL,fr,,90/6927,name,0,0,,,https://www.cristal.univ-lille.fr/profil/mbasseur
Maude Klaerr-Blanchard,CRIStAL,fr,,90/5298,name,0,0,,,http://cristal.univ-lille.fr/~pupin
Maude Pupin,CRIStAL,fr,0000-0003-3197-0715,90/5298,orcid,0,0,,,http://cristal.univ-lille.fr/~pupin
Maxime Folschette,CRIStAL,fr,,119/6039,name,0,0,,,https://www.cristal.univ-lille.fr/profil/mfolsche
Maxime Morge,CRIStAL,fr,,08/4935,name,0,0,,,http://cristal.univ-lille.fr/~morge
Maxime Ogier,CRIStAL,fr,,138/8463,name,0,0,,,https://www.cristal.univ-lille.fr/profil/ogier
Michaël Hauspie,CRIStAL,fr,,34/5377,name,0,0,,,https://pro.univ-lille.fr/michael-hauspie
Mikaela Keller,CRIStAL,fr,,14/4746,name,2,1,EMNLP,2024,https://www.cristal.univ-lille.fr/profil/kellerm
Mikaël Monet,CRIStAL,fr,0000-0002-6158-4607,183/1682,orcid,2,0,AAAI;JMLR,2023,http://mikael-monet.net
Mikaël Salson,CRIStAL,fr,0000-0003-1166-1720,81/7651,name,0,0,,,http://cristal.univ-lille.fr/~salson
Mirabelle Nebut,CRIStAL,fr,,n/MNebut,name,0,0,,,http://cristal.univ-lille.fr/~nebut
Mohamed Daoudi,CRIStAL,fr,0000-0003-4219-7860,73/2417,orcid,7,0,CVPR;ECCV;ICCV;IJCV;TPAMI,2026,https://mohammeddaoudi.github.io/mdaoudi.github.io
Nadarajen Veerapen,CRIStAL,fr,,36/10466,name,0,0,,,https://www.cristal.univ-lille.fr/profil/veerapen
Nicolas Anquetil,CRIStAL,fr,0000-0003-1486-8399,21/1959,orcid,0,0,,,https://www.cristal.univ-lille.fr/profil/anquetil
Nordine Melab,CRIStAL,fr,,m/NouredineMelab,name,0,0,,,http://cristal.univ-lille.fr/~melab
Nouredine Melab,CRIStAL,fr,,m/NouredineMelab,name,0,0,,,http://cristal.univ-lille.fr/~melab
Odalric Maillard,CRIStAL,fr,,83/7401,name,21,0,AAAI;AISTATS;COLT;ICLR;ICML;JMLR;NeurIPS;TMLR;UAI,2025,https://www.cristal.univ-lille.fr/profil/omaillar
Odalric-Ambrym Maillard,CRIStAL,fr,,83/7401,name,21,0,AAAI;AISTATS;COLT;ICLR;ICML;JMLR;NeurIPS;TMLR;UAI,2025,https://www.cristal.univ-lille.fr/profil/omaillar
Olivier Caron,CRIStAL,fr,,26/6887,name,0,0,,,https://www.cristal.univ-lille.fr/profil/carono
Omar Abdelkafi,CRIStAL,fr,,154/5674,name,0,0,,,https://www.cristal.univ-lille.fr/profil/abdelkafi
Pascal Denis,CRIStAL,fr,,18/4078,name,4,3,EACL;EMNLP,2024,https://www.cristal.univ-lille.fr/profil/pdenis
Patricia Everaere,CRIStAL,fr,,07/5567,name,1,5,AAAI;AAMAS;KR,2026,https://www.cristal.univ-lille.fr/profil/everaerp
Philippe Devienne,CRIStAL,fr,,d/PDevienne,name,0,0,,,https://www.cristal.univ-lille.fr/profil/devienne
Philippe Marquet,CRIStAL,fr,,19/2462,name,0,0,,,https://www.cristal.univ-lille.fr/profil/marquet
Philippe Mathieu,CRIStAL,fr,0000-0003-2786-1209,26/4698,orcid,0,2,AAMAS;ECAI,2025,http://cristal.univ-lille.fr/~mathieu
Philippe Merle,CRIStAL,fr,0000-0003-3573-7312,09/1156,name,0,0,,,https://www.cristal.univ-lille.fr/profil/merle
Philippe Preux,CRIStAL,fr,0000-0002-2067-2838,16/4835,name,7,1,AAAI;ICLR;IJCAI;KDD;NeurIPS;TMLR,2025,https://philippe-preux.github.io
Pierre Boulet,CRIStAL,fr,0000-0002-0373-4478,14/1617,orcid,0,0,,,https://www.cristal.univ-lille.fr/profil/boulet
Pierre Bourhis,CRIStAL,fr,,08/6004,name,0,1,KR,2022,http://cristal.univ-lille.fr/~bourhis
Pierre Fortin 0001,CRIStAL,fr,0000-0003-3117-9122,93/5085,orcid,0,0,,,https://pro.univ-lille.fr/pierre-fortin
Pierre Laperdrix,CRIStAL,fr,0000-0001-6901-3596,167/2160,name,0,3,WWW,2026,https://plaperdr.github.io
Pierre Tirilly,CRIStAL,fr,,83/2396,name,1,0,NeurIPS,2024,https://sites.google.com/site/tirillypierre/home
Romain Rouvoy,CRIStAL,fr,0000-0003-1771-8791,52/2030,orcid,0,1,WWW,2022,http://romain.rouvoy.fr
Rémi Gilleron,CRIStAL,fr,,g/RemiGilleron,name,1,1,EACL;EMNLP,2023,https://sites.google.com/view/remi-gilleron
Samuel Hym,CRIStAL,fr,,45/1491,name,0,0,,,https://www.cristal.univ-lille.fr/profil/hym
Samy Meftali,CRIStAL,fr,,03/5598,name,0,0,,,https://www.cristal.univ-lille.fr/profil/meftali
Serge G. Petiton,CRIStAL,fr,,62/5863,name,0,0,,,https://www.cristal.univ-lille.fr/profil/petiton
Simon Bliudze,CRIStAL,fr,0000-0002-7900-5271,97/1070,orcid,0,0,,,https://www.cristal.univ-lille.fr/profil/sbliudze
Slawek Staworko,CRIStAL,fr,0000-0003-3684-3395,47/5817,orcid,0,0,,,https://www.cristal.univ-lille.fr/profil/staworko
Slawomir Staworko,CRIStAL,fr,,47/5817,name,0,0,,,https://www.cristal.univ-lille.fr/profil/staworko
Sophie Tison,CRIStAL,fr,0000-0002-8426-6230,t/SophieTison,orcid,0,0,,,http://cristal.univ-lille.fr/~tison
Steven Costiou,CRIStAL,fr,0000-0003-2787-5432,198/7490,name,0,0,,,https://www.cristal.univ-lille.fr/profil/scostiou
Stéphane Ducasse,CRIStAL,fr,0000-0001-6070-6599,d/SDucasse,orcid,0,0,,,http://stephane.ducasse.free.fr
Stéphane Huot,CRIStAL,fr,0000-0003-2300-0815,57/1739,name,0,2,CHI,2023,https://www.cristal.univ-lille.fr/profil/huot
Stéphane Janot,CRIStAL,fr,,40/2079,name,0,0,,,https://www.cristal.univ-lille.fr/profil/janot
Sylvain Malacria,CRIStAL,fr,0000-0002-5201-5875,03/7444,orcid,0,12,CHI,2026,http://www.malacria.com
Sylvain Salvati,CRIStAL,fr,,53/7006,name,0,0,,,https://www.cristal.univ-lille.fr/profil/ssalvati
Thomas Pietrzak,CRIStAL,fr,0000-0002-2013-7253,p/ThomasPietrzak,orcid,0,4,CHI,2026,http://www.thomaspietrzak.com
Thomas Vantroys,CRIStAL,fr,,93/426,name,0,0,,,https://www.cristal.univ-lille.fr/profil/vantroys
Vincent Aranega,CRIStAL,fr,,18/5355,name,0,0,,,https://pro.univ-lille.fr/vincent-aranega
Vlad Rusu,CRIStAL,fr,,42/834,name,0,0,,,https://www.cristal.univ-lille.fr/profil/rusu
Walter Andrew Rudametkin Ivey,CRIStAL,fr,,65/6174,name,0,4,WWW,2026,https://www.cristal.univ-lille.fr/profil/wrudamet
Walter Rudametkin,CRIStAL,fr,0000-0003-2903-7600,65/6174,orcid,0,4,WWW,2026,https://www.cristal.univ-lille.fr/profil/wrudamet
Xavier Le Pallec,CRIStAL,fr,,50/6119,name,0,0,,,http://cristal.univ-lille.fr/~lepallec
Yann Secq,CRIStAL,fr,,98/2468,name,0,0,,,http://www.lifl.fr/~ysecq
Yvan Peter,CRIStAL,fr,0000-0002-1145-357X,71/984,orcid,0,0,,,http://cristal.univ-lille.fr/~peter
Yves Roos,CRIStAL,fr,,23/4048,name,0,0,,,https://www.cristal.univ-lille.fr/profil/yroos
Adlen Ksentini,EURECOM,fr,,37/6589,name,0,0,,,http://www.eurecom.fr/en/people/ksentini-adlen
Antonio Faonio,EURECOM,fr,0000-0002-7152-6478,138/9001,orcid,0,0,,,https://faonio.eurecom.io
Arun Padakandla,EURECOM,fr,,59/1761,name,1,0,AISTATS,2022,https://www.eurecom.fr/fr/people/padakandla-arun/publications
Aurélien Francillon,EURECOM,fr,0000-0003-0584-8732,88/3343,name,0,0,,,http://www.s3.eurecom.fr/~aurel
Bernard Mérialdo,EURECOM,fr,,33/5054,name,0,0,,,http://www.eurecom.fr/en/people/merialdo-bernard
Christian Bonnet,EURECOM,fr,0000-0002-3733-7227,93/4560,name,0,0,,,http://www.eurecom.fr/en/people/bonnet-christian
Daniele Antonioli,EURECOM,fr,0000-0002-9342-3920,133/5077,name,0,0,,,https://francozappa.github.io
David Gesbert,EURECOM,fr,0000-0002-4806-704X,44/3570,orcid,1,0,TMLR,2023,http://www.eurecom.fr/cm/gesbert
Davide Balzarotti,EURECOM,fr,0000-0001-5957-6213,56/490,name,0,0,,,http://www.s3.eurecom.fr/~balzarot
Derya Malak,EURECOM,fr,0000-0002-5991-6641,119/1434,name,0,0,,,https://sites.google.com/site/deryamalak/home
Dirk Slock,EURECOM,fr,0000-0003-4116-563X,57/1614,orcid,0,7,ICASSP,2025,http://www.eurecom.fr/en/people/slock-dirk
Florian Kaltenberger,EURECOM,fr,0000-0002-3225-3569,83/1349,orcid,0,0,,,https://www.eurecom.fr/fr/people/kaltenberger-florian
Giulio Franzese,EURECOM,fr,0000-0003-4244-2053,217/1859,orcid,7,0,ICLR;ICML;NeurIPS,2025,https://www.eurecom.fr/fr/people/franzese-giulio/publications
Jean-luc Dugelay,EURECOM,fr,0000-0003-3151-4330,96/6429,orcid,3,2,CVPR;ICASSP,2025,http://www.eurecom.fr/~dugelay
Jérôme Härri,EURECOM,fr,0000-0002-2363-1724,40/1062,orcid,0,0,,,https://www.eurecom.fr/fr/people/haerri-jerome
Lesly-Ann Daniel,EURECOM,fr,0000-0002-2772-3722,222/9411,name,0,0,,,https://leslyann-daniel.fr
Maria A. Zuluaga,EURECOM,fr,0000-0002-1147-766X,69/9122,orcid,5,11,AAAI;CVPR;ECCV;ICASSP;Interspeech;KDD;MICCAI;NeurIPS,2025,http://www.eurecom.fr/~zuluaga
Maria Alejandra Zuluaga,EURECOM,fr,,69/9122,name,5,11,AAAI;CVPR;ECCV;ICASSP;Interspeech;KDD;MICCAI;NeurIPS,2025,http://www.eurecom.fr/~zuluaga
Marios Kountouris,EURECOM,fr,0000-0003-1143-080X,90/3967,orcid,3,1,ICASSP;NeurIPS;TMLR,2026,http://www.eurecom.fr/en/people/kountouris-marios
Massimiliano Todisco,EURECOM,fr,0000-0003-2883-0324,89/6736,orcid,10,8,ICASSP;Interspeech;NeurIPS,2024,http://www.massimilianotodisco.eu
Melek Onen,EURECOM,fr,,,,0,0,,,http://www.eurecom.fr/~onen
Motonobu Kanagawa,EURECOM,fr,0000-0002-3948-8053,145/9784,name,4,0,JMLR;TMLR,2025,https://sites.google.com/site/motonobukanagawa
Navid Nikaein,EURECOM,fr,0000-0001-6301-7393,79/8,orcid,0,0,,,https://www.eurecom.fr/en/people/nikaein-navid
Nicholas Evans,EURECOM,fr,,61/43,name,0,0,,,http://www.eurecom.fr/~evans
Paolo Papotti,EURECOM,fr,0000-0003-0651-4128,p/PaoloPapotti,orcid,13,9,ACL;EACL;EMNLP;IJCAI;KDD;NAACL;NeurIPS;TACL;TMLR;WWW,2026,http://www.eurecom.fr/en/people/papotti-paolo
Petros Elia,EURECOM,fr,,34/792,name,0,0,,,http://www.eurecom.fr/~elia
Photios A. Stavrou,EURECOM,fr,,33/8135,name,1,0,TMLR,2026,https://www.eurecom.fr/fr/people/stavrou-fotios/publications
Pietro Michiardi,EURECOM,fr,,54/3028,name,11,0,AAAI;ICLR;ICML;NeurIPS,2025,http://www.eurecom.fr/~michiard
Raja Appuswamy,EURECOM,fr,0000-0001-5887-4091,57/1978,orcid,0,0,,,http://www.eurecom.fr/en/people/appuswamy-raja
Raphaël Troncy,EURECOM,fr,0000-0003-0457-1436,01/1768,orcid,0,9,EMNLP;RecSys;WWW,2025,http://www.eurecom.fr/~troncy
Raymond Knopp,EURECOM,fr,,89/6199,name,0,0,,,http://www.eurecom.fr/en/people/knopp-raymond
Refik Molva,EURECOM,fr,0000-0001-5947-5850,m/RefikMolva,orcid,0,0,,,http://www.eurecom.fr/en/people/molva-refik
Roberto Morabito,EURECOM,fr,0000-0002-4240-9934,161/7997,orcid,0,0,,,https://www.eurecom.fr/fr/people/morabito-roberto/publications
Simone Aonzo,EURECOM,fr,0000-0001-9547-3502,204/5152,name,0,0,,,https://simoneaonzo.it
Simone Rossi,EURECOM,fr,,,,0,0,,,https://www.eurecom.fr/fr/people/rossi-simone/publications
Thrasyvoulos Spyropoulos,EURECOM,fr,,95/6795,name,0,0,,,http://www.eurecom.fr/~spyropou
Albert Cohen 0001,Ecole Normale Superieure,fr,0000-0002-8866-5343,81/858-1,orcid,0,0,,,https://who.rocq.inria.fr/Albert.Cohen
Alexandre d'Aspremont,Ecole Normale Superieure,fr,0000-0003-3851-216X,59/2234,orcid,6,0,AISTATS;CVPR;ICLR;ICML;JMLR,2025,http://www.di.ens.fr/~aspremon
Ana Busic,Ecole Normale Superieure,fr,0000-0002-4133-3739,57/3580,orcid,3,0,ICML;NeurIPS;TMLR,2026,http://www.di.ens.fr/~busic
Anne Bouillard,Ecole Normale Superieure,fr,,75/2224,name,0,0,,,http://www.di.ens.fr/~bouillar
Bartek Blaszczyszyn,Ecole Normale Superieure,fr,,88/4182,name,0,0,,,http://www.di.ens.fr/~blaszczy
Bartlomiej Blaszczyszyn,Ecole Normale Superieure,fr,,88/4182,name,0,0,,,http://www.di.ens.fr/~blaszczy
Caterina Urban,Ecole Normale Superieure,fr,0000-0002-8127-9642,130/9842,orcid,1,0,TMLR,2025,https://caterinaurban.github.io
Cezara Dragoi,Ecole Normale Superieure,fr,,46/4882,name,0,0,,,http://www.di.ens.fr/~cezarad
Claire Kenyon,Ecole Normale Superieure,fr,,k/ClaireKenyon,name,0,0,,,http://www.di.ens.fr/ClaireMathieu.html
Claire Kenyon-Mathieu,Ecole Normale Superieure,fr,,k/ClaireKenyon,name,0,0,,,http://www.di.ens.fr/ClaireMathieu.html
Claire Mathieu,Ecole Normale Superieure,fr,,k/ClaireKenyon,name,0,0,,,http://www.di.ens.fr/ClaireMathieu.html
Céline Chevalier,Ecole Normale Superieure,fr,,61/1937,name,0,0,,,http://www.di.ens.fr/~ccheval
Damien Vergnaud,Ecole Normale Superieure,fr,0000-0002-2113-3967,04/4983,orcid,0,0,,,http://www.di.ens.fr/~vergnaud
David Naccache,Ecole Normale Superieure,fr,,41/6833,name,1,0,TMLR,2025,https://www.di.ens.fr/DavidNaccache.html
David Pointcheval,Ecole Normale Superieure,fr,0000-0002-6668-683X,p/DPointcheval,orcid,0,0,,,http://www.di.ens.fr/~pointche
Deh Cac Can,Ecole Normale Superieure,fr,,41/6833,name,1,0,TMLR,2025,https://www.di.ens.fr/DavidNaccache.html
Duong Hieu Phan,Ecole Normale Superieure,fr,0000-0003-1136-4064,74/201,orcid,0,0,,,http://www.di.ens.fr/users/phan
Francis Bach,Ecole Normale Superieure,fr,,442/5240,name,0,0,,,http://www.di.ens.fr/~fbach
Francois Berenger,Ecole Normale Superieure,fr,0000-0003-1377-944X,68/8712,orcid,0,0,,,http://www.di.ens.fr/AntiqueTeam.html.fr
François Baccelli,Ecole Normale Superieure,fr,0000-0002-9326-8422,b/FrancoisBaccelli,orcid,0,0,,,http://www.di.ens.fr/~baccelli
Gilles Wainrib,Ecole Normale Superieure,fr,,45/10595,name,0,0,,,https://www.di.ens.fr/GillesWainrib.html.en
Hoeteck Wee,Ecole Normale Superieure,fr,,81/5927,name,0,0,,,http://www.di.ens.fr/~wee
Jacques Stern,Ecole Normale Superieure,fr,,57/570,name,0,0,,,http://www.di.ens.fr/users/stern
Jean Ponce,Ecole Normale Superieure,fr,0009-0000-5449-7620,p/JeanPonce,name,23,0,CVPR;ECCV;ICCV;ICLR;ICRA;IJCV;IROS;NeurIPS;TMLR;TPAMI,2026,http://www.di.ens.fr/~ponce
Jean Vuillemin,Ecole Normale Superieure,fr,,67/335,name,0,0,,,http://www.di.ens.fr/~jv
Jérôme Feret,Ecole Normale Superieure,fr,0000-0002-2601-2785,f/JeromeFeret,name,0,0,,,http://www.di.ens.fr/~feret
Marc Lelarge,Ecole Normale Superieure,fr,0009-0004-4973-7449,21/462,name,6,0,COLT;ICLR;ICML;NeurIPS,2024,http://www.di.ens.fr/~lelarge
Marc Pouzet,Ecole Normale Superieure,fr,0000-0002-2651-7708,96/3114,name,0,0,,,https://www.di.ens.fr/~pouzet
Michel Abdalla,Ecole Normale Superieure,fr,0000-0002-2447-4329,67/2285,orcid,0,0,,,http://www.di.ens.fr/~mabdalla
Phong Nguyen,Ecole Normale Superieure,fr,,89/10562,name,2,1,AAAI;CVPR;RecSys,2025,http://www.di.ens.fr/~pnguyen
Stéphane Mallat,Ecole Normale Superieure,fr,,61/3978,name,8,0,ICLR;ICML;JMLR;NeurIPS,2024,https://www.di.ens.fr/~mallat
Timothy Bourke,Ecole Normale Superieure,fr,0000-0003-0601-4182,72/6450,name,0,0,,,http://www.di.ens.fr/~bourke
Vincent Danos,Ecole Normale Superieure,fr,,31/6599,name,0,0,,,http://www.di.ens.fr/~danos
Xavier Rival,Ecole Normale Superieure,fr,0000-0002-2875-6171,r/XavierRival,orcid,0,0,,,http://www.di.ens.fr/~rival
Zhentao Li,Ecole Normale Superieure,fr,,56/3840,name,0,0,,,http://www.di.ens.fr/~zhentao
Alain Finkel,Ecole Normale Superieure de Cachan,fr,0000-0003-2482-6141,f/AlainFinkel,orcid,2,0,ECCV;EMNLP,2025,http://www.lsv.ens-cachan.fr/~finkel
Benedikt Bollig,Ecole Normale Superieure de Cachan,fr,,b/BenediktBollig,name,0,0,,,http://www.lsv.ens-cachan.fr/~bollig
Claudine Picaronny,Ecole Normale Superieure de Cachan,fr,,p/ClaudinePicaronny,name,0,0,,,http://www.lsv.ens-cachan.fr/~picaro
David Baelde,Ecole Normale Superieure de Cachan,fr,0009-0003-3619-1232,58/5271,name,0,0,,,http://www.lsv.ens-cachan.fr/~baelde
Dietmar Berwanger,Ecole Normale Superieure de Cachan,fr,,20/439,name,0,0,,,http://www.lsv.ens-cachan.fr/~dwb
